"exp","Treatment","Months.in","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"bloomfield2014","P",9,"Amax",10.3087878787879,12.9322857142857,2.41032513052669,2.89309429881723,0.419583748813197,0.489022191195239,33,35
"bloomfield2014","P",13,"Amax",14.7548571428571,17.3885714285714,5.74842247998556,5.88341494614917,0.97166074338737,0.994478634814263,35,35
"bloomfield2014","P",22,"Amax",11.5579411764706,12.9608571428571,2.84560349823411,2.92886383455164,0.488016973823724,0.495068346258359,34,35
"bloomfield2014","P",9,"Asat",5.15151515151515,7.14857142857143,1.70311318108215,1.99046128685131,0.296473950390032,0.336449365090957,33,35
"bloomfield2014","P",13,"Asat",7.48114285714286,8.94057142857143,2.79566341850728,2.83456288035547,0.47255336658806,0.479128575725588,35,35
"bloomfield2014","P",22,"Asat",6.15970588235294,6.83142857142857,2.35795171165777,2.00617303643052,0.404385382383664,0.339105135492176,34,35
"bloomfield2014","P",9,"Vcmax",26.7640102536364,39.2202870891429,8.50499697802165,10.666232562758,1.4805299378443,1.80292236646776,33,35
"bloomfield2014","P",13,"Vcmax",41.5156756848571,56.9430474894286,12.5135394625565,19.4197794117279,2.11517422369857,3.28254183914222,35,35
"bloomfield2014","P",22,"Vcmax",36.6584255810294,39.0486919677143,14.3850044846095,11.3972926647311,2.46700791637918,1.92649407759671,34,35
"bloomfield2014","P",9,"Jmax",42.0300608987879,56.421992158,9.22055368112536,13.8248918722661,1.60509237142398,2.33683323740147,33,35
"bloomfield2014","P",13,"Jmax",62.6701902471429,75.1434904594286,21.5317343263835,23.61674953696,3.63952737552541,3.9919592708039,35,35
"bloomfield2014","P",22,"Jmax",51.1789271335294,56.9282697128571,12.995795590347,13.1134245566532,2.22876055654577,2.21657331162337,34,35
"bloomfield2014","P",9,"TPU",3.06836263248485,4.16390867414286,1.02175890767843,1.01825101844287,0.177865395600515,0.172115836123727,33,35
"bloomfield2014","P",13,"TPU",4.946175689,5.72712140037143,1.95098815517237,2.0950370665848,0.329777188053774,0.354125898127619,35,35
"bloomfield2014","P",22,"TPU",3.87299862670588,4.2927235546,0.969852266152828,0.971595066068219,0.166328291442466,0.164229540792158,34,35
"bloomfield2014","P",9,"Rd",NA,NA,NA,NA,NA,NA,0,0
"bloomfield2014","P",13,"Rd",NA,NA,NA,NA,NA,NA,0,0
"bloomfield2014","P",22,"Rd",0.4868,0.5976,2.48132473709289,1.92895862182315,0.425543681690538,0.326053517285819,34,35
"bloomfield2014","P",9,"cica",0.694430440484848,0.627997670742857,0.110292477223135,0.111433408066278,0.0191994559045505,0.0188356837892228,33,35
"bloomfield2014","P",13,"cica",0.675846846428571,0.594403044285714,0.0993025271691865,0.089179661947226,0.0167851906684664,0.0150741141459898,35,35
"bloomfield2014","P",22,"cica",0.682020979205882,0.720197858628571,0.114583083569076,0.0824539781306936,0.0196508367133625,0.0139372660872895,34,35
"bloomfield2014","P",9,"lma",85.65080283,86.7858731165714,24.5784380670758,22.8311743429689,4.1545143013941,3.85917282728174,35,35
"bloomfield2014","P",13,"lma",77.4306158742857,68.1958457157143,24.9339195048409,18.1646393669595,4.21460163131493,3.07038444931899,35,35
"bloomfield2014","P",22,"lma",83.9248743008571,70.1410053617143,21.6729273118574,18.6853538506352,3.66339334600763,3.15840126159444,35,35
"bloomfield2014","P",9,"nmass",18.0310727036765,17.2298819717143,7.56142996191678,5.01904905050751,1.2967745401229,0.848374131945509,34,35
"bloomfield2014","P",13,"nmass",19.6364662761429,20.7002717357143,6.87882708219913,6.36996430514777,1.16273399521247,1.07672048699288,35,35
"bloomfield2014","P",22,"nmass",19.4163955770588,17.4705707653714,7.93299918920389,6.18867259319069,1.36049813688514,1.04607659465138,34,35
"bloomfield2014","P",9,"narea",1.47374838197059,1.4276984756,0.544211378168231,0.338270256919207,0.0933314813743064,0.0571781093766753,34,35
"bloomfield2014","P",13,"narea",1.42797370397143,1.34858167985714,0.434286147441808,0.355779489534061,0.07340775705602,0.0601377098649703,35,35
"bloomfield2014","P",22,"narea",1.51852866861765,1.14453024868571,0.371678897924767,0.242176806809094,0.0637424051214245,0.0409353517342543,34,35
"bloomfield2014","P",9,"pmass",2.10484515333333,2.83516211025714,0.38501863802366,0.782047503101638,0.0670231420064141,0.132190154929232,33,35
"bloomfield2014","P",13,"pmass",0.686825849085714,1.536170391,0.2396500583928,0.554657003884946,0.0405082532993225,0.0937541453496667,35,35
"bloomfield2014","P",22,"pmass",0.417172505411765,1.46297400262857,0.182894221197056,0.798272633460821,0.0313661001660361,0.13493270252055,34,35
"bloomfield2014","P",9,"parea",179.901954360606,233.287074371429,40.7414607555073,44.2656577634073,7.09217798852977,7.48226179942001,33,35
"bloomfield2014","P",13,"parea",49.8248170648571,97.9356893771429,16.3950041615758,25.6587081771985,2.77126150468951,4.33711327735934,35,35
"bloomfield2014","P",22,"parea",32.7520139979412,94.5750554425714,10.1193163505114,50.9896979999134,1.73544843672215,8.61883204238979,34,35
"bloomfield2014","P",9,"leafnp",8.55840691772727,6.26767353305714,3.34202819477675,1.75520367012549,0.581772434284589,0.296683569944334,33,35
"bloomfield2014","P",13,"leafnp",30.29658961,14.2522771913429,9.68676975033778,3.93137876671093,1.63736293381469,0.664524298327019,35,35
"bloomfield2014","P",22,"leafnp",48.4980006876471,14.3222230149429,14.2294522674153,5.76591274539656,2.44033093121459,0.974617137833056,34,35
"bloomfield2014","P",9,"pnue",7.56390837859375,9.27650292791428,2.71453402919551,2.05640978663547,0.479866354951446,0.347596696128065,32,35
"bloomfield2014","P",13,"pnue",11.2112788477143,13.3254146356286,4.92855635132547,4.20810552860398,0.833078073998394,0.71129965836925,35,35
"bloomfield2014","P",22,"pnue",7.89830119827273,11.5650295203714,2.46905200258313,2.62188103005324,0.429806785042393,0.443178781588296,33,35
"bloomfield2014","P",9,"ppue",58.1248499258065,56.4613391982857,14.9566937303132,12.8262202227517,2.68630149475487,2.1680269186687,31,35
"bloomfield2014","P",13,"ppue",329.818105940857,187.1449119,178.668887235157,76.2549764792341,30.2005540468806,12.8894435631295,35,35
"bloomfield2014","P",22,"ppue",367.202824930303,161.158106222857,101.219390209451,61.8727988048991,17.6200341849264,10.4584118323844,33,35
