Spname,Treatment,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
clerodendrum_cyrtophyllum,N,anet,7.020,9.016,4.729,3.873,2.730,1.732,3,5
clerodendrum_cyrtophyllum,P,anet,7.020,12.031,4.729,3.467,2.730,1.551,3,5
clerodendrum_cyrtophyllum,NP,anet,7.020,5.047,4.729,3.762,2.730,1.683,3,5
psychotria_rubra,N,anet,3.408,4.645,2.441,1.633,0.923,0.667,7,6
psychotria_rubra,P,anet,3.408,5.327,2.441,2.991,0.923,1.221,7,6
psychotria_rubra,NP,anet,3.408,5.388,2.441,4.620,0.923,1.746,7,7
syzygium_bullockii,N,anet,9.476,7.974,2.129,4.625,0.805,2.068,7,5
syzygium_bullockii,P,anet,9.476,9.931,2.129,5.659,0.805,2.531,7,5
syzygium_bullockii,NP,anet,9.476,9.895,2.129,5.369,0.805,2.401,7,5
schefflera_octophylla,N,anet,12.355,8.592,5.531,2.984,2.473,1.492,5,4
schefflera_octophylla,P,anet,12.355,3.580,5.531,1.808,2.473,0.809,5,5
schefflera_octophylla,NP,anet,12.355,8.432,5.531,3.824,2.473,1.912,5,4
uvaria_microcarpa,N,anet,10.632,7.496,4.907,1.965,2.833,0.879,3,5
uvaria_microcarpa,P,anet,10.632,9.067,4.907,2.126,2.833,1.063,3,4
uvaria_microcarpa,NP,anet,10.632,11.528,4.907,1.826,2.833,0.913,3,4
clerodendrum_cyrtophyllum,N,lma,40.143,38.817,8.756,7.154,5.055,3.199,3,5
clerodendrum_cyrtophyllum,P,lma,40.143,29.398,8.756,4.900,5.055,2.191,3,5
clerodendrum_cyrtophyllum,NP,lma,40.143,27.995,8.756,6.105,5.055,2.730,3,5
psychotria_rubra,N,lma,65.682,64.041,8.413,6.310,3.180,2.576,7,6
psychotria_rubra,P,lma,65.682,57.229,8.413,12.892,3.180,5.263,7,6
psychotria_rubra,NP,lma,65.682,66.004,8.413,8.662,3.180,3.274,7,7
syzygium_bullockii,N,lma,70.715,74.774,7.752,8.064,2.930,3.606,7,5
syzygium_bullockii,P,lma,70.715,75.487,7.752,9.676,2.930,4.327,7,5
syzygium_bullockii,NP,lma,70.715,69.186,7.752,5.412,2.930,2.420,7,5
schefflera_octophylla,N,lma,58.944,65.063,10.752,10.553,4.809,5.276,5,4
schefflera_octophylla,P,lma,58.944,50.176,10.752,9.905,4.809,4.044,5,6
schefflera_octophylla,NP,lma,58.944,46.737,10.752,11.773,4.809,5.887,5,4
uvaria_microcarpa,N,lma,71.053,70.687,7.197,13.375,4.155,5.982,3,5
uvaria_microcarpa,P,lma,71.053,71.880,7.197,11.656,4.155,5.828,3,4
uvaria_microcarpa,NP,lma,71.053,65.628,7.197,7.896,4.155,3.948,3,4
clerodendrum_cyrtophyllum,N,leaf_n_mass,37.366,40.488,4.844,4.741,2.797,2.120,3,5
clerodendrum_cyrtophyllum,P,leaf_n_mass,37.366,39.437,4.844,5.131,2.797,2.295,3,5
clerodendrum_cyrtophyllum,NP,leaf_n_mass,37.366,49.019,4.844,4.424,2.797,1.978,3,5
psychotria_rubra,N,leaf_n_mass,21.293,23.599,2.551,2.626,0.964,1.072,7,6
psychotria_rubra,P,leaf_n_mass,21.293,22.850,2.551,2.179,0.964,0.890,7,6
psychotria_rubra,NP,leaf_n_mass,21.293,21.172,2.551,2.277,0.964,0.861,7,7
syzygium_bullockii,N,leaf_n_mass,14.201,15.184,0.846,0.804,0.320,0.359,7,5
syzygium_bullockii,P,leaf_n_mass,14.201,14.714,0.846,0.973,0.320,0.435,7,5
syzygium_bullockii,NP,leaf_n_mass,14.201,15.861,0.846,1.336,0.320,0.598,7,5
schefflera_octophylla,N,leaf_n_mass,20.197,19.813,3.542,0.807,1.584,0.403,5,4
schefflera_octophylla,P,leaf_n_mass,20.197,18.966,3.542,1.711,1.584,0.698,5,6
schefflera_octophylla,NP,leaf_n_mass,20.197,19.395,3.542,1.166,1.584,0.583,5,4
uvaria_microcarpa,N,leaf_n_mass,20.410,19.583,3.372,3.310,1.947,1.480,3,5
uvaria_microcarpa,P,leaf_n_mass,20.410,21.605,3.372,2.010,1.947,1.005,3,4
uvaria_microcarpa,NP,leaf_n_mass,20.410,21.765,3.372,1.869,1.947,0.935,3,4
clerodendrum_cyrtophyllum,N,leaf_n_area,1.480,1.559,0.248,0.258,0.143,0.115,3,5
clerodendrum_cyrtophyllum,P,leaf_n_area,1.480,1.151,0.248,0.199,0.143,0.089,3,5
clerodendrum_cyrtophyllum,NP,leaf_n_area,1.480,1.354,0.248,0.216,0.143,0.097,3,5
psychotria_rubra,N,leaf_n_area,1.399,1.502,0.232,0.116,0.088,0.047,7,6
psychotria_rubra,P,leaf_n_area,1.399,1.319,0.232,0.341,0.088,0.139,7,6
psychotria_rubra,NP,leaf_n_area,1.399,1.404,0.232,0.282,0.088,0.106,7,7
syzygium_bullockii,N,leaf_n_area,1.002,1.132,0.103,0.099,0.039,0.044,7,5
syzygium_bullockii,P,leaf_n_area,1.002,1.105,0.103,0.100,0.039,0.045,7,5
syzygium_bullockii,NP,leaf_n_area,1.002,1.097,0.103,0.127,0.039,0.057,7,5
schefflera_octophylla,N,leaf_n_area,1.172,1.283,0.170,0.158,0.076,0.079,5,4
schefflera_octophylla,P,leaf_n_area,1.172,0.946,0.170,0.178,0.076,0.073,5,6
schefflera_octophylla,NP,leaf_n_area,1.172,0.911,0.170,0.257,0.076,0.129,5,4
uvaria_microcarpa,N,leaf_n_area,1.444,1.366,0.221,0.259,0.127,0.116,3,5
uvaria_microcarpa,P,leaf_n_area,1.444,1.549,0.221,0.270,0.127,0.135,3,4
uvaria_microcarpa,NP,leaf_n_area,1.444,1.433,0.221,0.260,0.127,0.130,3,4
clerodendrum_cyrtophyllum,N,leaf_p_mass,1.177,1.305,0.383,0.132,0.221,0.059,3,5
clerodendrum_cyrtophyllum,P,leaf_p_mass,1.177,2.442,0.383,0.860,0.221,0.385,3,5
clerodendrum_cyrtophyllum,NP,leaf_p_mass,1.177,2.599,0.383,0.634,0.221,0.283,3,5
psychotria_rubra,N,leaf_p_mass,0.845,1.002,0.098,0.321,0.037,0.131,7,6
psychotria_rubra,P,leaf_p_mass,0.845,1.128,0.098,0.267,0.037,0.109,7,6
psychotria_rubra,NP,leaf_p_mass,0.845,1.091,0.098,0.171,0.037,0.065,7,7
syzygium_bullockii,N,leaf_p_mass,0.729,0.614,0.072,0.029,0.027,0.013,7,5
syzygium_bullockii,P,leaf_p_mass,0.729,0.978,0.072,0.168,0.027,0.075,7,5
syzygium_bullockii,NP,leaf_p_mass,0.729,0.927,0.072,0.154,0.027,0.069,7,5
schefflera_octophylla,N,leaf_p_mass,0.824,0.867,0.125,0.057,0.056,0.029,5,4
schefflera_octophylla,P,leaf_p_mass,0.824,1.233,0.125,0.184,0.056,0.075,5,6
schefflera_octophylla,NP,leaf_p_mass,0.824,1.270,0.125,0.282,0.056,0.141,5,4
uvaria_microcarpa,N,leaf_p_mass,1.004,0.958,0.197,0.108,0.114,0.048,3,5
uvaria_microcarpa,P,leaf_p_mass,1.004,1.341,0.197,0.320,0.114,0.160,3,4
uvaria_microcarpa,NP,leaf_p_mass,1.004,1.396,0.197,0.429,0.114,0.214,3,4
clerodendrum_cyrtophyllum,N,leaf_p_area,0.045,0.050,0.004,0.007,0.003,0.003,3,5
clerodendrum_cyrtophyllum,P,leaf_p_area,0.045,0.073,0.004,0.032,0.003,0.014,3,5
clerodendrum_cyrtophyllum,NP,leaf_p_area,0.045,0.071,0.004,0.017,0.003,0.008,3,5
psychotria_rubra,N,leaf_p_area,0.056,0.063,0.011,0.018,0.004,0.007,7,6
psychotria_rubra,P,leaf_p_area,0.056,0.065,0.011,0.025,0.004,0.010,7,6
psychotria_rubra,NP,leaf_p_area,0.056,0.072,0.011,0.013,0.004,0.005,7,7
syzygium_bullockii,N,leaf_p_area,0.052,0.046,0.009,0.005,0.003,0.002,7,5
syzygium_bullockii,P,leaf_p_area,0.052,0.074,0.009,0.016,0.003,0.007,7,5
syzygium_bullockii,NP,leaf_p_area,0.052,0.064,0.009,0.013,0.003,0.006,7,5
schefflera_octophylla,N,leaf_p_area,0.048,0.056,0.008,0.008,0.003,0.004,5,4
schefflera_octophylla,P,leaf_p_area,0.048,0.061,0.008,0.013,0.003,0.005,5,6
schefflera_octophylla,NP,leaf_p_area,0.048,0.058,0.008,0.010,0.003,0.005,5,4
uvaria_microcarpa,N,leaf_p_area,0.070,0.068,0.007,0.017,0.004,0.008,3,5
uvaria_microcarpa,P,leaf_p_area,0.070,0.094,0.007,0.014,0.004,0.007,3,4
uvaria_microcarpa,NP,leaf_p_area,0.070,0.089,0.007,0.017,0.004,0.008,3,4
clerodendrum_cyrtophyllum,N,leaf_np,33.055,31.002,6.580,1.149,3.799,0.514,3,5
clerodendrum_cyrtophyllum,P,leaf_np,33.055,17.862,6.580,6.125,3.799,2.739,3,5
clerodendrum_cyrtophyllum,NP,leaf_np,33.055,19.440,6.580,3.115,3.799,1.393,3,5
psychotria_rubra,N,leaf_np,25.290,24.876,2.506,5.424,0.947,2.214,7,6
psychotria_rubra,P,leaf_np,25.290,20.911,2.506,3.876,0.947,1.582,7,6
psychotria_rubra,NP,leaf_np,25.290,19.776,2.506,3.421,0.947,1.293,7,7
syzygium_bullockii,N,leaf_np,19.616,24.773,1.822,1.541,0.689,0.689,7,5
syzygium_bullockii,P,leaf_np,19.616,15.430,1.822,3.140,0.689,1.404,7,5
syzygium_bullockii,NP,leaf_np,19.616,17.418,1.822,2.675,0.689,1.196,7,5
schefflera_octophylla,N,leaf_np,24.476,22.915,1.673,1.426,0.748,0.713,5,4
schefflera_octophylla,P,leaf_np,24.476,15.678,1.673,2.832,0.748,1.156,5,6
schefflera_octophylla,NP,leaf_np,24.476,15.900,1.673,3.779,0.748,1.890,5,4
uvaria_microcarpa,N,leaf_np,20.762,20.433,4.635,2.791,2.676,1.248,3,5
uvaria_microcarpa,P,leaf_np,20.762,16.586,4.635,2.968,2.676,1.484,3,4
uvaria_microcarpa,NP,leaf_np,20.762,16.672,4.635,5.137,2.676,2.569,3,4
clerodendrum_cyrtophyllum,N,leaf_pnue,63.236,78.324,35.818,26.551,20.680,11.874,3,5
clerodendrum_cyrtophyllum,P,leaf_pnue,63.236,147.542,35.818,39.109,20.680,17.490,3,5
clerodendrum_cyrtophyllum,NP,leaf_pnue,63.236,51.782,35.818,33.363,20.680,14.920,3,5
psychotria_rubra,N,leaf_pnue,33.551,42.970,21.046,12.599,7.954,5.144,7,6
psychotria_rubra,P,leaf_pnue,33.551,59.632,21.046,31.798,7.954,12.982,7,6
psychotria_rubra,NP,leaf_pnue,33.551,57.851,21.046,55.155,7.954,20.847,7,7
syzygium_bullockii,N,leaf_pnue,133.166,98.879,31.498,54.936,11.905,24.568,7,5
syzygium_bullockii,P,leaf_pnue,133.166,125.323,31.498,73.377,11.905,32.815,7,5
syzygium_bullockii,NP,leaf_pnue,133.166,127.552,31.498,69.235,11.905,30.963,7,5
schefflera_octophylla,N,leaf_pnue,148.443,92.215,68.395,27.020,30.587,13.510,5,4
schefflera_octophylla,P,leaf_pnue,148.443,70.219,68.395,43.336,30.587,17.692,5,6
schefflera_octophylla,NP,leaf_pnue,148.443,139.461,68.395,69.921,30.587,34.960,5,4
uvaria_microcarpa,N,leaf_pnue,102.859,76.724,41.636,15.332,24.039,6.857,3,5
uvaria_microcarpa,P,leaf_pnue,102.859,84.314,41.636,26.904,24.039,13.452,3,4
uvaria_microcarpa,NP,leaf_pnue,102.859,114.952,41.636,25.538,24.039,12.769,3,4
clerodendrum_cyrtophyllum,N,leaf_ppue,4968.847,5428.334,3376.552,1944.827,1949.453,869.753,3,5
clerodendrum_cyrtophyllum,P,leaf_ppue,4968.847,5560.870,3376.552,1811.405,1949.453,810.085,3,5
clerodendrum_cyrtophyllum,NP,leaf_ppue,4968.847,2448.477,3376.552,1848.718,1949.453,826.772,3,5
psychotria_rubra,N,leaf_ppue,1858.681,2410.765,1121.280,1110.705,423.804,453.443,7,6
psychotria_rubra,P,leaf_ppue,1858.681,2803.239,1121.280,1591.747,423.804,649.828,7,6
psychotria_rubra,NP,leaf_ppue,1858.681,2517.496,1121.280,2345.947,423.804,886.685,7,7
syzygium_bullockii,N,leaf_ppue,5777.429,5546.082,1407.737,3379.092,532.075,1511.176,7,5
syzygium_bullockii,P,leaf_ppue,5777.429,3928.711,1407.737,1840.896,532.075,823.274,7,5
syzygium_bullockii,NP,leaf_ppue,5777.429,4766.665,1407.737,2330.304,532.075,1042.144,7,5
schefflera_octophylla,N,leaf_ppue,8135.165,4728.543,4135.411,1577.881,1849.412,788.941,5,4
schefflera_octophylla,P,leaf_ppue,8135.165,2606.597,4135.411,2175.204,1849.412,888.023,5,6
schefflera_octophylla,NP,leaf_ppue,8135.165,4359.700,4135.411,2256.878,1849.412,1128.439,5,4
uvaria_microcarpa,N,leaf_ppue,4609.260,3519.411,1756.893,1034.529,1014.343,462.656,3,5
uvaria_microcarpa,P,leaf_ppue,4609.260,3101.289,1756.893,1217.235,1014.343,608.617,3,4
uvaria_microcarpa,NP,leaf_ppue,4609.260,4184.577,1756.893,1376.272,1014.343,688.136,3,4
clerodendrum_cyrtophyllum,N,leaf_structural_p,0.324,0.346,0.044,0.102,0.026,0.046,3,5
clerodendrum_cyrtophyllum,P,leaf_structural_p,0.324,0.535,0.044,0.159,0.026,0.071,3,5
clerodendrum_cyrtophyllum,NP,leaf_structural_p,0.324,0.418,0.044,0.127,0.026,0.057,3,5
psychotria_rubra,N,leaf_structural_p,0.147,0.157,0.050,0.048,0.019,0.019,7,6
psychotria_rubra,P,leaf_structural_p,0.147,0.143,0.050,0.033,0.019,0.013,7,6
psychotria_rubra,NP,leaf_structural_p,0.147,0.152,0.050,0.081,0.019,0.030,7,7
syzygium_bullockii,N,leaf_structural_p,0.210,0.154,0.072,0.077,0.027,0.034,7,5
syzygium_bullockii,P,leaf_structural_p,0.210,0.205,0.072,0.068,0.027,0.030,7,5
syzygium_bullockii,NP,leaf_structural_p,0.210,0.210,0.072,0.045,0.027,0.020,7,5
schefflera_octophylla,N,leaf_structural_p,0.348,0.360,0.061,0.050,0.027,0.025,5,4
schefflera_octophylla,P,leaf_structural_p,0.348,0.458,0.061,0.065,0.027,0.026,5,6
schefflera_octophylla,NP,leaf_structural_p,0.348,0.484,0.061,0.116,0.027,0.058,5,4
uvaria_microcarpa,N,leaf_structural_p,0.209,0.250,0.074,0.058,0.042,0.026,3,5
uvaria_microcarpa,P,leaf_structural_p,0.209,0.279,0.074,0.035,0.042,0.018,3,4
uvaria_microcarpa,NP,leaf_structural_p,0.209,0.307,0.074,0.075,0.042,0.038,3,4
clerodendrum_cyrtophyllum,N,leaf_metabolic_p,0.493,0.492,0.247,0.117,0.142,0.052,3,5
clerodendrum_cyrtophyllum,P,leaf_metabolic_p,0.493,1.225,0.247,0.563,0.142,0.252,3,5
clerodendrum_cyrtophyllum,NP,leaf_metabolic_p,0.493,1.227,0.247,0.577,0.142,0.258,3,5
psychotria_rubra,N,leaf_metabolic_p,0.119,0.195,0.049,0.168,0.019,0.068,7,6
psychotria_rubra,P,leaf_metabolic_p,0.119,0.256,0.049,0.150,0.019,0.061,7,6
psychotria_rubra,NP,leaf_metabolic_p,0.119,0.194,0.049,0.076,0.019,0.029,7,7
syzygium_bullockii,N,leaf_metabolic_p,0.143,0.135,0.054,0.022,0.021,0.010,7,5
syzygium_bullockii,P,leaf_metabolic_p,0.143,0.347,0.054,0.147,0.021,0.066,7,5
syzygium_bullockii,NP,leaf_metabolic_p,0.143,0.226,0.054,0.112,0.021,0.050,7,5
schefflera_octophylla,N,leaf_metabolic_p,0.206,0.245,0.053,0.015,0.024,0.008,5,4
schefflera_octophylla,P,leaf_metabolic_p,0.206,0.434,0.053,0.109,0.024,0.045,5,6
schefflera_octophylla,NP,leaf_metabolic_p,0.206,0.522,0.053,0.171,0.024,0.086,5,4
uvaria_microcarpa,N,leaf_metabolic_p,0.273,0.266,0.111,0.041,0.064,0.018,3,5
uvaria_microcarpa,P,leaf_metabolic_p,0.273,0.532,0.111,0.202,0.064,0.101,3,4
uvaria_microcarpa,NP,leaf_metabolic_p,0.273,0.605,0.111,0.309,0.064,0.155,3,4
clerodendrum_cyrtophyllum,N,leaf_nucleic_p,0.244,0.328,0.105,0.023,0.061,0.010,3,5
clerodendrum_cyrtophyllum,P,leaf_nucleic_p,0.244,0.435,0.105,0.118,0.061,0.053,3,5
clerodendrum_cyrtophyllum,NP,leaf_nucleic_p,0.244,0.468,0.105,0.098,0.061,0.044,3,5
psychotria_rubra,N,leaf_nucleic_p,0.181,0.192,0.033,0.068,0.013,0.028,7,6
psychotria_rubra,P,leaf_nucleic_p,0.181,0.227,0.033,0.057,0.013,0.023,7,6
psychotria_rubra,NP,leaf_nucleic_p,0.181,0.214,0.033,0.053,0.013,0.020,7,7
syzygium_bullockii,N,leaf_nucleic_p,0.228,0.183,0.056,0.030,0.021,0.013,7,5
syzygium_bullockii,P,leaf_nucleic_p,0.228,0.280,0.056,0.054,0.021,0.024,7,5
syzygium_bullockii,NP,leaf_nucleic_p,0.228,0.260,0.056,0.058,0.021,0.026,7,5
schefflera_octophylla,N,leaf_nucleic_p,0.166,0.163,0.016,0.026,0.007,0.013,5,4
schefflera_octophylla,P,leaf_nucleic_p,0.166,0.248,0.016,0.033,0.007,0.013,5,6
schefflera_octophylla,NP,leaf_nucleic_p,0.166,0.257,0.016,0.070,0.007,0.035,5,4
uvaria_microcarpa,N,leaf_nucleic_p,0.272,0.226,0.074,0.010,0.043,0.005,3,5
uvaria_microcarpa,P,leaf_nucleic_p,0.272,0.304,0.074,0.053,0.043,0.027,3,4
uvaria_microcarpa,NP,leaf_nucleic_p,0.272,0.274,0.074,0.048,0.043,0.024,3,4
clerodendrum_cyrtophyllum,N,leaf_residual_p,0.117,0.138,0.048,0.020,0.028,0.009,3,5
clerodendrum_cyrtophyllum,P,leaf_residual_p,0.117,0.247,0.048,0.176,0.028,0.079,3,5
clerodendrum_cyrtophyllum,NP,leaf_residual_p,0.117,0.486,0.048,0.071,0.028,0.032,3,5
psychotria_rubra,N,leaf_residual_p,0.420,0.458,0.022,0.052,0.008,0.021,7,6
psychotria_rubra,P,leaf_residual_p,0.420,0.502,0.022,0.078,0.008,0.032,7,6
psychotria_rubra,NP,leaf_residual_p,0.420,0.532,0.022,0.049,0.008,0.019,7,7
syzygium_bullockii,N,leaf_residual_p,0.238,0.192,0.051,0.042,0.019,0.019,7,5
syzygium_bullockii,P,leaf_residual_p,0.238,0.251,0.051,0.037,0.019,0.017,7,5
syzygium_bullockii,NP,leaf_residual_p,0.238,0.231,0.051,0.031,0.019,0.014,7,5
schefflera_octophylla,N,leaf_residual_p,0.105,0.099,0.024,0.005,0.011,0.002,5,4
schefflera_octophylla,P,leaf_residual_p,0.105,0.094,0.024,0.029,0.011,0.012,5,6
schefflera_octophylla,NP,leaf_residual_p,0.105,0.128,0.024,0.044,0.011,0.022,5,4
uvaria_microcarpa,N,leaf_residual_p,0.250,0.215,0.059,0.015,0.034,0.007,3,5
uvaria_microcarpa,P,leaf_residual_p,0.250,0.227,0.059,0.043,0.034,0.022,3,4
uvaria_microcarpa,NP,leaf_residual_p,0.250,0.210,0.059,0.009,0.034,0.004,3,4